skill,link,image_link,partner,title,course_skill,rating,num_review,difficulty,course_type,duration
.net core,https://www.coursera.org/learn/gcp-fundamentals,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/31/8ffb301bf011e79fa2d5b154b6a30b/GCP-Fundamentals-Core-Infra.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Google Cloud,Google Cloud Fundamentals: Core Infrastructure,"['Cloud Infrastructure', 'Google Cloud Platform', 'Infrastructure As A Service (IaaS)', 'Cloud Applications', 'Kubernetes', 'Identity and Access Management', 'Cloud Computing', 'Cloud Storage', 'Network Infrastructure', 'Containerization', 'Virtual Machines', 'Generative AI', 'Platform As A Service (PaaS)', 'Serverless Computing', 'Load Balancing', 'Relational Databases', 'Scalability']",4.7,49000.0,Beginner,Course,1 - 3 Months
.net core,https://www.coursera.org/specializations/java-fullstack,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/14/4dcbc397754fb880094f4ebde1fdb5/Java-Full-Stack-Developer-specialization-2-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Board Infinity,Java FullStack Developer,"['Angular', 'Web Applications', 'HTML and CSS', 'Web Development', 'Eclipse (Software)', 'JavaScript Frameworks', 'Spring Boot', 'Object Oriented Programming (OOP)', 'Restful API', 'Java Programming', 'Model View Controller', 'Object Oriented Design', 'Hypertext Markup Language (HTML)', 'Front-End Web Development', 'Software Development Tools', 'Spring Framework', 'Java', 'Web Services', 'Javascript', 'Integrated Development Environments']",4.3,568.0,Intermediate,Specialization,1 - 3 Months
.net frameworks,https://www.coursera.org/specializations/dot-net-fullstack,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/69/d189dfdb9d46db9bc3641bfdb39bfb/NET-FullStack-Developer.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Board Infinity,.NET FullStack Developer,"['Model View Controller', 'ASP.NET', '.NET Framework', 'Restful API', 'C# (Programming Language)', 'Hypertext Markup Language (HTML)', 'Front-End Web Development', 'JSON', 'Web Services', 'Application Frameworks', 'Web Applications', 'Object Oriented Programming (OOP)', 'Javascript', 'Web Design and Development', 'React.js', 'JavaScript Frameworks', 'Application Programming Interface (API)', 'Cascading Style Sheets (CSS)', 'Back-End Web Development', 'Programming Principles']",4.2,292.0,Intermediate,Specialization,1 - 3 Months
.net frameworks,https://www.coursera.org/learn/dot-net-full-stack-foundation,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/4e/f9d71703db4b33ab34aef5322c6666/Net-Full-Stack-Foundation.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Board Infinity,.Net Full Stack Foundation,"['ASP.NET', '.NET Framework', 'C# (Programming Language)', 'Application Frameworks', 'Web Applications', 'Object Oriented Programming (OOP)', 'Web Design and Development', 'Programming Principles', 'Full-Stack Web Development', 'Event-Driven Programming', 'Computer Programming', 'Debugging', 'Development Environment', 'Data Structures']",4.1,246.0,Beginner,Course,1 - 4 Weeks
.net frameworks,https://www.coursera.org/specializations/asp-dot-net-experience,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a7/c9f13936de4766bc5971cddf28292c/ASP.NET-for-Experienced-Developers.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Board Infinity,ASP.NET for Experienced Developers,"['C# (Programming Language)', 'ASP.NET', '.NET Framework', 'Object Oriented Programming (OOP)', 'Docker (Software)', 'Restful API', 'Azure DevOps', 'Model View Controller', 'JSON', 'Containerization', 'Microservices', 'Web Services', 'DevOps', 'Application Programming Interface (API)', 'Web Applications', 'Back-End Web Development', 'CI/CD', 'Programming Principles', 'Server Side', 'Software Development']",4.1,324.0,Intermediate,Specialization,1 - 3 Months
.net frameworks,https://www.coursera.org/professional-certificates/microsoft-full-stack-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/b9/1a78ad4cb14f85bc8290dbc2e6ac55/MicrosoftFullStackDeveloperProfessionalCertificate_Logo.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Microsoft,Microsoft Full-Stack Developer,"['Application Deployment', 'Cascading Style Sheets (CSS)', 'GitHub', 'Database Management', 'C# (Programming Language)', 'Microsoft SQL Servers', 'HTML and CSS', 'SQL', 'ASP.NET', 'Load Balancing', 'CI/CD', 'Version Control', 'Relational Databases', 'Git (Version Control System)', 'Role-Based Access Control (RBAC)', 'Scalability', 'Full-Stack Web Development', 'Programming Principles', 'Graph Theory', 'User Interface (UI)']",4.4,93.0,Beginner,Professional Certificate,3 - 6 Months
.net frameworks,https://www.coursera.org/specializations/web-applications,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/88/dc5c5094d411e7b4b66f7a7a1060c7/WA4E_mainimage_coloronly2.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,University of Michigan,Web Applications for Everybody,"['Database Design', 'SQL', 'MySQL', 'PHP (Scripting Language)', 'Relational Databases', 'JSON', 'Database Management', 'jQuery', 'Hypertext Markup Language (HTML)', 'Javascript and jQuery', 'Ajax', 'Databases', 'Data Modeling', 'Database Application', 'Database Development', 'Debugging', 'Web Applications', 'Object Oriented Design', 'Object Oriented Programming (OOP)', 'Web Development']",4.7,9200.0,Intermediate,Specialization,3 - 6 Months
.net frameworks,https://www.coursera.org/professional-certificates/microsoft-back-end-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d6/e501bc26a54ab7abfcde147d325869/MicrosoftFrontEndDeveloperProfessionalCertificate_Logo.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Microsoft,Microsoft Back-End Developer,"['Application Deployment', 'Database Management', 'C# (Programming Language)', 'Microsoft SQL Servers', 'SQL', 'ASP.NET', 'Load Balancing', 'CI/CD', 'Relational Databases', 'Role-Based Access Control (RBAC)', 'Scalability', 'Object Oriented Programming (OOP)', 'Databases', 'Azure DevOps', 'Authentications', '.NET Framework', 'Graph Theory', 'Back-End Web Development', 'Program Development', 'Data Structures']",4.5,76.0,Beginner,Professional Certificate,3 - 6 Months
.net frameworks,https://www.coursera.org/specializations/meta-react-native,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/22/fd0bb5fa6640abad2df3b86ed9f13e/front-end-dev6.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Meta,Meta React Native,"['React Native', 'Jest (JavaScript Testing Framework)', 'Version Control', 'User Research', 'UI/UX Research', 'Usability Testing', 'Unix Commands', 'Restful API', 'Git (Version Control System)', 'Persona (User Experience)', 'GitHub', 'Interaction Design', 'User Experience Design', 'SQL', 'User Interface and User Experience (UI/UX) Design', 'Mobile Development', 'Design Research', 'Cross Platform Development', 'React.js', 'Web Development Tools']",4.6,10000.0,Beginner,Specialization,3 - 6 Months
.net frameworks,https://www.coursera.org/learn/django-web-framework,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/91/e27ff4f78942848ad3b0266e14dbfc/back-end-dev3.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Meta,Django Web Framework,"['Django (Web Framework)', 'Web Development', 'Web Servers', 'Web Applications', 'Data Modeling', 'MySQL', 'Application Security', 'Database Development', 'Object-Relational Mapping', 'Application Frameworks', 'Database Management', 'HTML and CSS', 'Restful API', 'Debugging']",4.7,596.0,Beginner,Course,1 - 3 Months
.net frameworks,https://www.coursera.org/learn/intro-to-dotnet-core,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/59/8c50da3bc644d587a46a364a6942b4/introducing-.net-core-1-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Board Infinity,Introduction to .NET Core,"['ASP.NET', '.NET Framework', 'C# (Programming Language)', 'Web Applications', 'Application Frameworks', 'Model View Controller', 'Microsoft Visual Studio', 'Application Deployment', 'Back-End Web Development', 'Cross Platform Development', 'Development Environment', 'Debugging', 'Software Architecture', 'Command-Line Interface']",4.0,63.0,Beginner,Course,1 - 4 Weeks
.net frameworks,https://www.coursera.org/specializations/dotnet-adv-techniques-for-exp-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/25/2bed358cb74d73a103358f42fd72c5/.net-general.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,EDUCBA,.NET Core Mastery: Advanced Techniques for Exp Developers,"['Load Balancing', 'ASP.NET', 'Test Driven Development (TDD)', 'Debugging', 'C# (Programming Language)', 'Software Testing', 'Scalability', 'Performance Testing', 'Restful API', 'Unit Testing', 'Microservices', '.NET Framework', 'Object-Relational Mapping', 'Software Architecture', 'Web Applications', 'Test Case', 'User Accounts', 'Data Integrity', 'Distributed Computing', 'Redis']",4.7,133.0,Intermediate,Specialization,3 - 6 Months
.net frameworks,https://www.coursera.org/professional-certificates/google-ux-design,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/f9/f48728d31a4af3b8eba082c0b4cb18/1060x596_GCC-photos-1-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=320&h=180&q=50&fit=crop&crop=faces,Google,Google UX Design,"['Storyboarding', 'Wireframing', 'UI/UX Research', 'Responsive Web Design', 'User Experience Design', 'Design Thinking', 'User Research', 'Information Architecture', 'Figma (Design Software)', 'Usability Testing', 'User Story', 'Web Design', 'Design Reviews', 'Usability', 'Presentations', 'Design Research', 'Persona (User Experience)', 'Ideation', 'User Centered Design', 'Mockups']",4.8,89000.0,Beginner,Professional Certificate,3 - 6 Months
.net frameworks,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/fb/620d991481452ea28bfbfbba54de27/Foundations-Specialization-1-.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,IBM,Cloud Application Development Foundations,"['Node.JS', 'Cloud Computing Architecture', 'Server Side', 'Cloud-Native Computing', 'React Redux', 'Cloud Services', 'NoSQL', 'MongoDB', 'React.js', 'Agile Methodology', 'Front-End Web Development', 'JavaScript Frameworks', 'Cloud Security', 'Hypertext Markup Language (HTML)', 'HTML and CSS', 'Cloud Infrastructure', 'Restful API', 'Web Development', 'Web Development Tools', 'Back-End Web Development']",4.6,9700.0,Beginner,Specialization,3 - 6 Months
.net technologies,https://www.coursera.org/specializations/dot-net-fullstack,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/69/d189dfdb9d46db9bc3641bfdb39bfb/NET-FullStack-Developer.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Board Infinity,.NET FullStack Developer,"['Model View Controller', 'ASP.NET', '.NET Framework', 'Restful API', 'C# (Programming Language)', 'Hypertext Markup Language (HTML)', 'Front-End Web Development', 'JSON', 'Web Services', 'Application Frameworks', 'Web Applications', 'Object Oriented Programming (OOP)', 'Javascript', 'Web Design and Development', 'React.js', 'JavaScript Frameworks', 'Application Programming Interface (API)', 'Cascading Style Sheets (CSS)', 'Back-End Web Development', 'Programming Principles']",4.2,292.0,Intermediate,Specialization,1 - 3 Months
.net technologies,https://www.coursera.org/learn/introduction-html-css-javascript,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b1/8159cc90f848b0a702103ac6f1e226/Introduction-to-Web-Development-image.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,"Introduction to HTML, CSS, & JavaScript","['HTML and CSS', 'Web Design and Development', 'Hypertext Markup Language (HTML)', 'Cascading Style Sheets (CSS)', 'Web Development', 'Web Applications', 'Front-End Web Development', 'Web Design', 'Javascript', 'Full-Stack Web Development', 'Interactive Design', 'Scripting']",4.5,458.0,Beginner,Course,1 - 4 Weeks
.net technologies,https://www.coursera.org/learn/dot-net-full-stack-foundation,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/4e/f9d71703db4b33ab34aef5322c6666/Net-Full-Stack-Foundation.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Board Infinity,.Net Full Stack Foundation,"['ASP.NET', '.NET Framework', 'C# (Programming Language)', 'Application Frameworks', 'Web Applications', 'Object Oriented Programming (OOP)', 'Web Design and Development', 'Programming Principles', 'Full-Stack Web Development', 'Event-Driven Programming', 'Computer Programming', 'Debugging', 'Development Environment', 'Data Structures']",4.1,246.0,Beginner,Course,1 - 4 Weeks
.net technologies,https://www.coursera.org/professional-certificates/microsoft-full-stack-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/b9/1a78ad4cb14f85bc8290dbc2e6ac55/MicrosoftFullStackDeveloperProfessionalCertificate_Logo.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Microsoft,Microsoft Full-Stack Developer,"['Application Deployment', 'Cascading Style Sheets (CSS)', 'GitHub', 'Database Management', 'C# (Programming Language)', 'Microsoft SQL Servers', 'HTML and CSS', 'SQL', 'ASP.NET', 'Load Balancing', 'CI/CD', 'Version Control', 'Relational Databases', 'Git (Version Control System)', 'Role-Based Access Control (RBAC)', 'Scalability', 'Full-Stack Web Development', 'Programming Principles', 'Graph Theory', 'User Interface (UI)']",4.4,93.0,Beginner,Professional Certificate,3 - 6 Months
.net technologies,https://www.coursera.org/specializations/asp-dot-net-experience,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a7/c9f13936de4766bc5971cddf28292c/ASP.NET-for-Experienced-Developers.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Board Infinity,ASP.NET for Experienced Developers,"['C# (Programming Language)', 'ASP.NET', '.NET Framework', 'Object Oriented Programming (OOP)', 'Docker (Software)', 'Restful API', 'Azure DevOps', 'Model View Controller', 'JSON', 'Containerization', 'Microservices', 'Web Services', 'DevOps', 'Application Programming Interface (API)', 'Web Applications', 'Back-End Web Development', 'CI/CD', 'Programming Principles', 'Server Side', 'Software Development']",4.1,324.0,Intermediate,Specialization,1 - 3 Months
.net technologies,https://www.coursera.org/professional-certificates/microsoft-back-end-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d6/e501bc26a54ab7abfcde147d325869/MicrosoftFrontEndDeveloperProfessionalCertificate_Logo.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Microsoft,Microsoft Back-End Developer,"['Application Deployment', 'Database Management', 'C# (Programming Language)', 'Microsoft SQL Servers', 'SQL', 'ASP.NET', 'Load Balancing', 'CI/CD', 'Relational Databases', 'Role-Based Access Control (RBAC)', 'Scalability', 'Object Oriented Programming (OOP)', 'Databases', 'Azure DevOps', 'Authentications', '.NET Framework', 'Graph Theory', 'Back-End Web Development', 'Program Development', 'Data Structures']",4.5,76.0,Beginner,Professional Certificate,3 - 6 Months
.net technologies,https://www.coursera.org/specializations/key-technologies-for-business,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/93/1543b8c7d64dad864ca79e876a065d/Key-Technology-Foundations-1-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,IBM,Key Technologies for Business,"['Cloud Computing Architecture', 'Cloud Services', 'Cloud Security', 'Cloud Infrastructure', 'Data Mining', 'Cloud Platforms', 'Cloud Computing', 'Artificial Intelligence', 'Generative AI', 'Data Ethics', 'OpenAI', 'Cloud Storage', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Infrastructure As A Service (IaaS)', 'Big Data', 'Emerging Technologies', 'Data Analysis', 'Data Science', 'Deep Learning', 'Digital Transformation']",4.7,98000.0,Beginner,Specialization,3 - 6 Months
.net technologies,https://www.coursera.org/learn/c-sharp-for-dot-net,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/9f/abbbf6e08e44a3abb00fd683a6ff9d/C-for-.Net-Developers-1-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Board Infinity,C# for .NET Developers,"['C# (Programming Language)', 'ASP.NET', '.NET Framework', 'Object Oriented Programming (OOP)', 'Web Applications', 'Programming Principles', 'Microsoft Visual Studio', 'Debugging', 'Event-Driven Programming', 'Development Environment']",4.1,265.0,Intermediate,Course,1 - 4 Weeks
.net technologies,https://www.coursera.org/learn/python-for-applied-data-science-ai,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/fc/c1b8dfbac740999b6256aca490de43/Python-Image.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,IBM,"Python for Data Science, AI & Development","['Jupyter', 'Automation', 'Web Scraping', 'Python Programming', 'Data Manipulation', 'Data Import/Export', 'Scripting', 'Data Structures', 'Data Processing', 'Data Collection', 'Application Programming Interface (API)', 'Pandas (Python Package)', 'Programming Principles', 'NumPy', 'Object Oriented Programming (OOP)', 'Computer Programming']",4.6,41000.0,Beginner,Course,1 - 3 Months
.net technologies,https://www.coursera.org/learn/intro-to-dotnet-core,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/59/8c50da3bc644d587a46a364a6942b4/introducing-.net-core-1-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Board Infinity,Introduction to .NET Core,"['ASP.NET', '.NET Framework', 'C# (Programming Language)', 'Web Applications', 'Application Frameworks', 'Model View Controller', 'Microsoft Visual Studio', 'Application Deployment', 'Back-End Web Development', 'Cross Platform Development', 'Development Environment', 'Debugging', 'Software Architecture', 'Command-Line Interface']",4.0,63.0,Beginner,Course,1 - 4 Weeks
